file,vowel,speaker,dur,f0,f1,f2
m49er,er,m,238,156,444,1377
m50er,er,m,258,123,516,1399
w01er,er,w,300,224,470,1437
w02er,er,w,418,218,500,1441
w03er,er,w,278,182,523,1413
w04er,er,w,350,216,619,1716
w05er,er,w,317,242,494,1485
w06er,er,w,342,225,527,1636
w07er,er,w,320,174,518,1604
w08er,er,w,272,250,516,1983
w09er,er,w,261,248,503,1480
w10er,er,w,342,230,495,1596
w11er,er,w,389,195,567,1496
w12er,er,w,348,219,501,1555
w13er,er,w,275,244,531,1688
w14er,er,w,267,225,506,1604
w15er,er,w,355,234,484,1652
w16er,er,w,295,219,597,1588
w17er,er,w,308,212,491,1506
w19er,er,w,319,246,524,1547
w20er,er,w,325,175,508,1562
w21er,er,w,370,224,469,1499
w22er,er,w,279,173,505,1568
w23er,er,w,345,212,508,1687
w24er,er,w,327,262,538,1813
w25er,er,w,403,215,617,1565
w26er,er,w,340,184,522,1490
w27er,er,w,242,257,507,1749
w28er,er,w,223,238,514,1831
w29er,er,w,311,264,580,1407
w30er,er,w,332,246,557,1546
w31er,er,w,335,184,555,1491
w32er,er,w,272,212,588,1509
w33er,er,w,345,252,549,1749
w34er,er,w,240,214,461,1534
w35er,er,w,300,218,537,1509
w36er,er,w,438,206,492,1635
w37er,er,w,371,198,455,1769
w38er,er,w,303,230,656,1614
w39er,er,w,340,189,509,1365
w40er,er,w,304,207,584,1486
w41er,er,w,262,208,491,1655
w42er,er,w,331,240,482,1676
w44er,er,w,319,237,487,1434
w45er,er,w,310,204,537,1638
w46er,er,w,382,166,500,1637
w47er,er,w,327,211,456,1615
w48er,er,w,346,231,604,1441
w49er,er,w,301,176,513,1569
w50er,er,w,356,224,503,1766
b01er,er,b,227,240,608,1733
b02er,er,b,395,283,560,1687
b03er,er,b,280,199,622,1837
b04er,er,b,386,230,580,1990
b05er,er,b,228,224,573,1562
b07er,er,b,375,294,612,1645
b08er,er,b,261,208,477,1809
b09er,er,b,262,241,505,1691
b10er,er,b,326,220,620,1823
b11er,er,b,322,211,586,1681
b12er,er,b,366,263,523,1874
b13er,er,b,255,193,574,1751
b14er,er,b,283,213,619,1498
b15er,er,b,371,281,562,1682
b16er,er,b,334,200,591,1626
b17er,er,b,304,247,556,1741
b18er,er,b,304,272,559,1828
b19er,er,b,278,217,571,1984
b21er,er,b,378,247,495,1555
b22er,er,b,336,259,678,1594
b23er,er,b,332,246,614,1867
b24er,er,b,270,248,568,1512
b25er,er,b,277,227,488,1584
b26er,er,b,347,224,479,1579
b27er,er,b,251,211,615,1742
b28er,er,b,263,220,457,1570
b29er,er,b,390,250,614,1733
g01er,er,g,297,228,556,1687
g02er,er,g,258,223,620,1750
g04er,er,g,359,285,564,2003
g05er,er,g,348,223,601,1791
g06er,er,g,299,224,632,1689
g07er,er,g,365,237,585,1694
g08er,er,g,346,260,540,1571
g09er,er,g,413,286,573,1748
g10er,er,g,320,212,631,1722
g11er,er,g,296,233,671,1556
g12er,er,g,270,253,627,1780
g13er,er,g,288,273,561,1692
g14er,er,g,312,215,603,1663
g15er,er,g,331,248,707,1706
g17er,er,g,269,225,667,1688
g18er,er,g,287,219,611,2033
g19er,er,g,197,236,670,1899
g20er,er,g,286,230,627,1628
g21er,er,g,262,225,620,1689
m01ih,ih,m,268,179,370,2161
m02ih,ih,m,183,111,384,2039
m03ih,ih,m,262,101,411,1932
m04ih,ih,m,227,135,441,2045
m06ih,ih,m,159,115,441,2080
m07ih,ih,m,190,108,363,2269
m08ih,ih,m,235,131,390,1948
m09ih,ih,m,221,132,385,1843
m10ih,ih,m,186,153,440,1954
m11ih,ih,m,301,163,470,1959
m13ih,ih,m,164,109,411,2034
m14ih,ih,m,249,121,444,2154
m16ih,ih,m,134,145,424,1913
m17ih,ih,m,169,145,419,2076
m18ih,ih,m,179,142,491,1958
m19ih,ih,m,194,159,486,2061
m20ih,ih,m,221,139,433,2012
m21ih,ih,m,145,123,418,1964
m22ih,ih,m,220,128,452,2062
m23ih,ih,m,207,113,463,2018
m24ih,ih,m,202,138,501,1971
m25ih,ih,m,176,107,427,1974
m26ih,ih,m,197,129,439,1951
m27ih,ih,m,188,115,453,2013
m28ih,ih,m,160,189,469,2128
m29ih,ih,m,145,131,404,2107
m30ih,ih,m,178,105,383,2167
m31ih,ih,m,134,165,440,2119
m32ih,ih,m,154,148,438,2049
m33ih,ih,m,204,147,437,1960
m34ih,ih,m,172,128,379,1942
m35ih,ih,m,226,111,397,1985
m36ih,ih,m,174,130,428,1999
m37ih,ih,m,147,133,434,1872
m38ih,ih,m,142,133,427,2140
m39ih,ih,m,168,149,440,2082
m40ih,ih,m,194,145,431,2071
m41ih,ih,m,185,143,437,1915
m42ih,ih,m,191,162,474,1956
m44ih,ih,m,204,111,433,2012
m45ih,ih,m,224,196,432,2494
m47ih,ih,m,244,131,396,1810
m48ih,ih,m,182,137,429,1962
m49ih,ih,m,177,136,416,2296
m50ih,ih,m,198,130,441,2068
w01ih,ih,w,176,246,496,2260
w02ih,ih,w,356,219,446,2444
w03ih,ih,w,197,188,486,2332
w04ih,ih,w,356,224,502,2391
w05ih,ih,w,266,238,497,2379
w06ih,ih,w,266,216,531,2174
w07ih,ih,w,285,192,535,2380
w08ih,ih,w,180,247,498,2654
w09ih,ih,w,218,253,500,2272
w10ih,ih,w,249,227,471,2277
w11ih,ih,w,320,207,453,2427
w12ih,ih,w,246,237,489,2603
w13ih,ih,w,219,233,555,2216
w14ih,ih,w,209,221,491,2316
w15ih,ih,w,218,234,485,2129
w16ih,ih,w,290,214,457,2590
w17ih,ih,w,203,221,474,2362
w19ih,ih,w,256,252,501,2355
w20ih,ih,w,240,213,449,2173
w21ih,ih,w,345,233,458,2143
w22ih,ih,w,171,187,440,2394
w23ih,ih,w,227,218,535,2134
w24ih,ih,w,258,256,516,2567
w25ih,ih,w,302,222,552,2453
w26ih,ih,w,209,223,455,2304
w27ih,ih,w,197,251,515,2378
w28ih,ih,w,167,238,504,2334
w29ih,ih,w,219,260,544,2570
w30ih,ih,w,208,250,501,2449
w31ih,ih,w,261,206,431,2190
w32ih,ih,w,213,215,478,2157
w33ih,ih,w,227,252,556,2541
w34ih,ih,w,175,231,486,2454
w35ih,ih,w,176,218,442,2472
w36ih,ih,w,353,225,486,2253
w37ih,ih,w,363,201,440,2453
w38ih,ih,w,239,231,477,2554
w39ih,ih,w,247,216,436,2559
w40ih,ih,w,227,205,501,2292
w41ih,ih,w,200,219,443,2644
w42ih,ih,w,170,236,489,2175
w44ih,ih,w,266,225,451,2247
w45ih,ih,w,287,213,442,2316
w46ih,ih,w,252,149,449,2492
w47ih,ih,w,208,221,444,2237
w48ih,ih,w,209,238,498,2234
w49ih,ih,w,216,225,463,2603
w50ih,ih,w,245,239,499,2384
b01ih,ih,b,197,263,551,2393
b02ih,ih,b,239,289,563,2608
b03ih,ih,b,284,228,571,2689
b04ih,ih,b,268,249,513,2447
b05ih,ih,b,209,226,479,2449
b07ih,ih,b,268,296,590,2354
b08ih,ih,b,205,215,447,2784
b09ih,ih,b,232,239,536,2319
b10ih,ih,b,263,209,529,2649
b11ih,ih,b,227,197,522,2387
b12ih,ih,b,305,262,548,2592
b13ih,ih,b,253,223,491,2409
b14ih,ih,b,177,221,470,2505
b15ih,ih,b,255,287,564,2515
b16ih,ih,b,290,198,562,2549
b17ih,ih,b,276,252,499,2230
b18ih,ih,b,196,264,535,2190
b19ih,ih,b,263,212,520,2695
b21ih,ih,b,300,257,506,2432
b22ih,ih,b,187,231,489,2544
b23ih,ih,b,205,276,559,2753
b24ih,ih,b,137,229,447,2645
b25ih,ih,b,249,212,479,2492
b26ih,ih,b,316,218,481,2567
b27ih,ih,b,174,230,551,2362
b28ih,ih,b,194,240,490,2449
b29ih,ih,b,294,243,503,2433
g01ih,ih,g,233,240,495,2574
g02ih,ih,g,197,258,557,2634
g04ih,ih,g,313,271,558,2427
g05ih,ih,g,323,219,441,2728
g06ih,ih,g,150,236,488,2623
g07ih,ih,g,311,252,506,2432
g08ih,ih,g,378,261,517,2619
g09ih,ih,g,308,264,515,2828
g10ih,ih,g,241,257,518,2870
g11ih,ih,g,250,226,499,2437
g12ih,ih,g,240,242,533,2762
g13ih,ih,g,273,257,508,2642
g14ih,ih,g,311,216,435,2623
g15ih,ih,g,337,244,497,2684
g17ih,ih,g,212,243,504,2408
g18ih,ih,g,267,212,557,2664
g19ih,ih,g,168,236,550,2625
g20ih,ih,g,220,234,489,2730
g21ih,ih,g,170,226,444,2846
m01iy,iy,m,339,172,328,2418
m02iy,iy,m,236,108,305,2320
m03iy,iy,m,315,96,331,2311
m04iy,iy,m,240,134,353,2385
m06iy,iy,m,241,122,367,2390
m07iy,iy,m,259,101,346,2379
m08iy,iy,m,298,164,312,2402
m09iy,iy,m,341,129,355,2049
m10iy,iy,m,223,163,320,2300
m11iy,iy,m,323,160,315,2253
m13iy,iy,m,229,106,327,2257
m14iy,iy,m,256,106,329,2514
m16iy,iy,m,179,142,311,2274
m17iy,iy,m,261,165,322,2282
m18iy,iy,m,273,143,364,2366
m19iy,iy,m,232,160,350,2462
m20iy,iy,m,263,161,314,2368
m21iy,iy,m,153,129,328,2123
m22iy,iy,m,251,127,372,2280
m23iy,iy,m,265,121,367,2244
m24iy,iy,m,241,133,381,2515
m25iy,iy,m,268,119,352,2254
m26iy,iy,m,271,115,323,2269
m27iy,iy,m,218,117,338,2329
m28iy,iy,m,194,175,368,2509
m29iy,iy,m,161,132,309,2385
m30iy,iy,m,282,107,307,2405
m31iy,iy,m,202,158,312,2319
m32iy,iy,m,205,166,327,2378
m33iy,iy,m,254,159,314,2506
m34iy,iy,m,200,130,365,2119
m35iy,iy,m,268,113,327,2143
m36iy,iy,m,219,135,362,2103
m37iy,iy,m,195,137,392,2127
m38iy,iy,m,187,145,308,2190
m39iy,iy,m,235,184,373,2207
m40iy,iy,m,231,154,343,2502
m41iy,iy,m,221,141,394,2300
m42iy,iy,m,286,157,373,2214
m44iy,iy,m,291,100,312,2307
m45iy,iy,m,234,216,420,2600
m47iy,iy,m,228,159,315,2052
m48iy,iy,m,216,130,366,2504
m49iy,iy,m,246,133,370,2536
m50iy,iy,m,228,114,354,2375
w01iy,iy,w,232,234,441,2806
w02iy,iy,w,380,222,435,2890
w03iy,iy,w,289,192,380,2703
w04iy,iy,w,364,215,428,2767
w05iy,iy,w,305,249,346,2703
w06iy,iy,w,332,221,439,2676
w07iy,iy,w,281,200,394,2689
w08iy,iy,w,297,264,493,2967
w09iy,iy,w,246,266,442,2850
w10iy,iy,w,324,239,477,2866
w11iy,iy,w,433,203,408,2627
w12iy,iy,w,359,223,435,2868
w13iy,iy,w,336,229,438,2813
w14iy,iy,w,261,225,440,2706
w15iy,iy,w,321,259,455,2797
w16iy,iy,w,278,227,443,2944
w17iy,iy,w,240,210,429,2698
w19iy,iy,w,302,247,492,2695
w20iy,iy,w,287,195,382,2563
w21iy,iy,w,353,223,434,2512
w22iy,iy,w,304,214,435,2621
w23iy,iy,w,307,219,433,2634
w24iy,iy,w,334,272,531,2996
w25iy,iy,w,346,237,467,3009
w26iy,iy,w,336,177,375,2577
w27iy,iy,w,250,252,497,2795
w28iy,iy,w,222,246,495,2910
w29iy,iy,w,284,275,508,2731
w30iy,iy,w,306,233,452,2754
w31iy,iy,w,316,237,461,2359
w32iy,iy,w,261,216,433,2720
w33iy,iy,w,257,268,505,2982
w34iy,iy,w,236,220,434,2854
w35iy,iy,w,276,215,426,2775
w36iy,iy,w,324,220,424,2692
w37iy,iy,w,396,201,380,2816
w38iy,iy,w,276,223,439,2927
w39iy,iy,w,338,210,430,2606
w40iy,iy,w,271,198,383,2733
w41iy,iy,w,263,229,438,2964
w42iy,iy,w,376,250,427,2772
w44iy,iy,w,368,226,437,2555
w45iy,iy,w,326,217,431,2522
w46iy,iy,w,316,155,331,3049
w47iy,iy,w,336,230,440,2757
w48iy,iy,w,279,255,489,2641
w49iy,iy,w,290,243,419,2874
w50iy,iy,w,314,231,437,2778
b01iy,iy,b,237,277,554,3022
b02iy,iy,b,317,287,344,3193
b03iy,iy,b,277,219,441,3081
b04iy,iy,b,318,260,509,2873
b05iy,iy,b,242,244,475,3203
b07iy,iy,b,310,307,488,3063
b08iy,iy,b,241,220,434,3127
b09iy,iy,b,296,251,501,2760
b10iy,iy,b,266,222,424,3198
b11iy,iy,b,254,207,429,2984
b12iy,iy,b,349,262,516,3126
b13iy,iy,b,234,239,476,2772
b14iy,iy,b,327,203,421,3337
b15iy,iy,b,329,259,446,3011
b16iy,iy,b,324,207,428,3070
b17iy,iy,b,331,259,493,2811
b18iy,iy,b,269,285,504,2803
b19iy,iy,b,288,228,442,3135
b21iy,iy,b,398,247,427,2952
b22iy,iy,b,325,260,475,2916
b23iy,iy,b,277,293,366,3207
b24iy,iy,b,205,213,424,3199
b25iy,iy,b,309,239,382,2987
b26iy,iy,b,342,218,441,3079
b27iy,iy,b,241,239,410,2874
b28iy,iy,b,268,240,361,2938
b29iy,iy,b,269,255,366,3024
g01iy,iy,g,314,222,389,3068
g02iy,iy,g,248,246,498,3451
g04iy,iy,g,324,294,463,3225
g05iy,iy,g,305,239,475,3320
g06iy,iy,g,230,250,478,2997
g07iy,iy,g,386,250,457,2776
g08iy,iy,g,390,263,507,3319
g09iy,iy,g,399,294,503,3256
g10iy,iy,g,292,222,456,3389
g11iy,iy,g,282,238,465,2875
g12iy,iy,g,304,212,436,3340
g13iy,iy,g,396,278,464,3104
g14iy,iy,g,320,220,432,2688
g15iy,iy,g,357,251,477,3266
g17iy,iy,g,266,273,466,3004
g18iy,iy,g,343,222,436,3443
g19iy,iy,g,193,237,479,3093
g20iy,iy,g,243,232,469,3278
g21iy,iy,g,258,238,472,3120
m01oa,oa,m,369,169,509,989
m02oa,oa,m,261,105,519,891
m03oa,oa,m,417,96,496,863
m04oa,oa,m,300,146,441,862
m06oa,oa,m,263,114,524,1000
m07oa,oa,m,266,94,515,1126
m08oa,oa,m,285,125,500,868
m09oa,oa,m,340,134,503,950
m10oa,oa,m,269,153,476,1016
m11oa,oa,m,374,149,496,867
m13oa,oa,m,268,104,486,826
m14oa,oa,m,269,107,491,1065
m16oa,oa,m,214,142,434,862
m17oa,oa,m,272,146,439,699
m18oa,oa,m,337,138,454,745
m19oa,oa,m,247,157,566,997
m20oa,oa,m,319,133,534,1002
m21oa,oa,m,204,127,499,859
m22oa,oa,m,287,119,520,987
m23oa,oa,m,279,117,461,801
m24oa,oa,m,233,126,543,1009
m25oa,oa,m,261,112,494,925
m26oa,oa,m,275,107,436,865
m27oa,oa,m,246,105,533,900
m28oa,oa,m,213,130,530,1000
m29oa,oa,m,238,118,509,896
m30oa,oa,m,301,95,376,659
m31oa,oa,m,175,150,457,870
m32oa,oa,m,198,160,487,804
m33oa,oa,m,260,138,502,879
m34oa,oa,m,243,124,499,883
m35oa,oa,m,317,114,465,969
m36oa,oa,m,230,122,496,908
m37oa,oa,m,211,142,437,861
m38oa,oa,m,209,136,548,1067
m39oa,oa,m,252,151,444,815
m40oa,oa,m,256,134,522,911
m41oa,oa,m,229,143,554,1005
m42oa,oa,m,289,140,528,792
m44oa,oa,m,282,106,555,1019
m45oa,oa,m,247,181,552,924
m47oa,oa,m,293,143,473,820
m48oa,oa,m,232,133,499,927
m49oa,oa,m,188,136,495,938
m50oa,oa,m,251,119,601,1045
w01oa,oa,w,302,234,557,1135
w02oa,oa,w,422,212,432,1013
w03oa,oa,w,274,176,624,1130
w04oa,oa,w,410,225,627,1314
w05oa,oa,w,376,224,443,879
w06oa,oa,w,353,203,580,995
w07oa,oa,w,262,196,621,1025
w08oa,oa,w,304,253,506,1257
w09oa,oa,w,257,252,538,998
w10oa,oa,w,363,219,453,980
w11oa,oa,w,372,196,597,1150
w12oa,oa,w,319,233,688,1185
w13oa,oa,w,315,236,631,1181
w14oa,oa,w,264,216,636,1041
w15oa,oa,w,357,226,449,924
w16oa,oa,w,346,209,612,1026
w17oa,oa,w,298,206,616,1034
w19oa,oa,w,340,241,631,1185
w20oa,oa,w,317,174,504,1047
w21oa,oa,w,374,234,469,934
w22oa,oa,w,334,181,578,1061
w23oa,oa,w,345,201,560,987
w24oa,oa,w,362,242,508,991
w25oa,oa,w,443,213,658,1045
w26oa,oa,w,378,167,498,970
w27oa,oa,w,265,243,582,946
w28oa,oa,w,225,240,613,1184
w29oa,oa,w,285,274,636,981
w30oa,oa,w,313,230,636,1096
w31oa,oa,w,363,203,584,936
w32oa,oa,w,239,217,499,1046
w33oa,oa,w,277,247,504,990
w34oa,oa,w,254,219,453,880
w35oa,oa,w,309,210,641,1195
w36oa,oa,w,340,217,620,1057
w37oa,oa,w,406,195,563,1198
w38oa,oa,w,296,221,632,1108
w39oa,oa,w,353,204,430,820
w40oa,oa,w,305,207,438,812
w41oa,oa,w,288,226,450,889
w42oa,oa,w,318,219,444,987
w44oa,oa,w,347,212,435,862
w45oa,oa,w,323,206,608,1007
w46oa,oa,w,350,183,568,1112
w47oa,oa,w,380,224,624,1109
w48oa,oa,w,282,237,522,923
w49oa,oa,w,315,206,444,803
w50oa,oa,w,361,239,720,1277
b01oa,oa,b,267,250,693,1235
b02oa,oa,b,336,258,557,1106
b03oa,oa,b,310,211,624,1456
b04oa,oa,b,322,250,685,1128
b05oa,oa,b,247,197,589,1050
b07oa,oa,b,311,315,641,1243
b08oa,oa,b,341,248,554,896
b09oa,oa,b,210,237,516,1181
b10oa,oa,b,316,209,623,1241
b11oa,oa,b,270,198,591,1168
b12oa,oa,b,403,261,716,0
b13oa,oa,b,259,218,586,1217
b14oa,oa,b,263,203,623,1044
b15oa,oa,b,394,282,562,1051
b16oa,oa,b,315,217,588,1063
b17oa,oa,b,290,269,581,1115
b18oa,oa,b,260,257,613,1236
b19oa,oa,b,335,185,548,1062
b21oa,oa,b,397,243,584,936
b22oa,oa,b,370,257,588,1117
b23oa,oa,b,314,274,557,1065
b24oa,oa,b,216,212,615,0
b25oa,oa,b,292,223,625,1100
b26oa,oa,b,338,215,646,1244
b27oa,oa,b,264,225,658,1272
b28oa,oa,b,293,224,616,1047
b29oa,oa,b,267,241,578,1122
g01oa,oa,g,263,251,571,1243
g02oa,oa,g,295,230,683,1038
g04oa,oa,g,380,282,583,1352
g05oa,oa,g,380,239,678,1306
g06oa,oa,g,268,226,483,903
g07oa,oa,g,442,241,492,927
g08oa,oa,g,309,259,536,789
g09oa,oa,g,423,275,561,1151
g10oa,oa,g,338,238,630,1491
g11oa,oa,g,363,232,455,923
g12oa,oa,g,237,225,637,1142
g13oa,oa,g,351,251,502,960
g14oa,oa,g,330,240,499,992
g15oa,oa,g,382,243,577,1217
g17oa,oa,g,262,267,785,1551
g18oa,oa,g,300,221,568,1096
g19oa,oa,g,222,234,688,1197
g20oa,oa,g,317,213,622,1223
g21oa,oa,g,246,222,643,1262
m01oo,oo,m,255,169,450,995
m02oo,oo,m,174,112,424,992
m03oo,oo,m,275,96,489,1059
m04oo,oo,m,210,134,522,1123
m06oo,oo,m,147,117,468,1115
m07oo,oo,m,197,92,442,1176
m08oo,oo,m,241,132,486,1116
m09oo,oo,m,238,125,442,1205
m10oo,oo,m,196,157,485,1086
m11oo,oo,m,275,151,472,1296
m13oo,oo,m,208,113,459,1036
m14oo,oo,m,203,116,446,1298
m16oo,oo,m,150,145,438,1177
m17oo,oo,m,178,148,438,979
m18oo,oo,m,166,158,481,1094
m19oo,oo,m,222,163,499,1127
m20oo,oo,m,237,144,438,1181
m21oo,oo,m,147,119,451,1106
m22oo,oo,m,173,124,470,1202
m23oo,oo,m,204,121,503,1058
m24oo,oo,m,210,131,504,1318
m25oo,oo,m,216,111,507,1183
m26oo,oo,m,208,116,492,1157
m27oo,oo,m,173,113,487,994
m28oo,oo,m,146,132,435,994
m29oo,oo,m,188,124,491,1246
m30oo,oo,m,191,109,430,1021
m31oo,oo,m,111,156,463,1086
m32oo,oo,m,134,160,500,1067
m33oo,oo,m,180,141,495,1093
m34oo,oo,m,160,125,442,1092
m35oo,oo,m,230,106,466,1375
m36oo,oo,m,185,120,496,1101
m37oo,oo,m,159,132,497,1164
m38oo,oo,m,153,146,436,1154
m39oo,oo,m,196,151,498,1048
m40oo,oo,m,168,142,435,1263
m41oo,oo,m,176,151,468,1064
m42oo,oo,m,227,128,510,1238
m44oo,oo,m,220,112,409,965
m45oo,oo,m,186,195,497,1107
m47oo,oo,m,219,141,465,1087
m48oo,oo,m,167,136,441,1181
m49oo,oo,m,178,164,456,1002
m50oo,oo,m,205,120,495,1106
w01oo,oo,w,238,228,489,1357
w02oo,oo,w,390,225,503,1332
w03oo,oo,w,265,215,494,1102
w04oo,oo,w,279,222,509,1323
w05oo,oo,w,269,244,506,1188
w06oo,oo,w,283,207,483,987
w07oo,oo,w,227,182,563,1233
w08oo,oo,w,210,254,546,1534
w09oo,oo,w,209,247,500,1200
w10oo,oo,w,253,231,491,1179
w11oo,oo,w,332,200,575,1619
w12oo,oo,w,289,225,502,1322
w13oo,oo,w,227,240,552,1193
w14oo,oo,w,227,224,499,1103
w15oo,oo,w,240,248,501,1189
w16oo,oo,w,273,219,562,1109
w17oo,oo,w,202,232,492,1161
w19oo,oo,w,332,249,505,1404
w20oo,oo,w,301,233,500,1095
w21oo,oo,w,370,242,496,1169
w22oo,oo,w,270,203,458,1042
w23oo,oo,w,208,231,617,1373
w24oo,oo,w,245,262,559,1246
w25oo,oo,w,331,228,509,1244
w26oo,oo,w,171,195,490,1122
w27oo,oo,w,167,262,616,1331
w28oo,oo,w,181,242,521,1428
w29oo,oo,w,205,285,570,1117
w30oo,oo,w,216,254,532,1354
w31oo,oo,w,245,228,482,1124
w32oo,oo,w,183,205,541,1183
w33oo,oo,w,187,244,615,1375
w34oo,oo,w,187,232,579,1392
w35oo,oo,w,203,236,552,1364
w36oo,oo,w,328,214,449,1396
w37oo,oo,w,333,228,464,1169
w38oo,oo,w,251,258,552,1214
w39oo,oo,w,236,187,486,1088
w40oo,oo,w,233,205,516,1019
w41oo,oo,w,217,226,444,1081
w42oo,oo,w,246,240,497,1440
w44oo,oo,w,242,224,499,1144
w45oo,oo,w,239,224,480,1108
w46oo,oo,w,265,177,520,1421
w47oo,oo,w,231,237,498,1162
w48oo,oo,w,239,255,519,1051
w49oo,oo,w,217,256,509,1049
w50oo,oo,w,273,236,553,1135
b01oo,oo,b,184,247,553,1495
b02oo,oo,b,253,292,570,1148
b03oo,oo,b,247,200,574,1808
b04oo,oo,b,343,251,558,1742
b05oo,oo,b,197,218,543,1473
b07oo,oo,b,281,305,624,1513
b08oo,oo,b,200,218,469,1097
b09oo,oo,b,222,237,615,1345
b10oo,oo,b,259,214,613,1561
b11oo,oo,b,271,213,593,1507
b12oo,oo,b,325,268,588,1578
b13oo,oo,b,244,227,626,1578
b14oo,oo,b,179,212,494,1245
b15oo,oo,b,329,291,570,1423
b16oo,oo,b,261,202,615,1397
b17oo,oo,b,247,263,508,1245
b18oo,oo,b,189,236,563,1585
b19oo,oo,b,294,252,578,1574
b21oo,oo,b,270,221,531,1540
b22oo,oo,b,232,237,627,1703
b23oo,oo,b,206,277,561,1627
b24oo,oo,b,169,237,493,1248
b25oo,oo,b,254,238,512,1260
b26oo,oo,b,303,227,546,1254
b27oo,oo,b,174,211,622,1417
b28oo,oo,b,213,239,492,1200
b29oo,oo,b,221,233,684,1623
g01oo,oo,g,224,243,499,1440
g02oo,oo,g,206,228,639,1518
g04oo,oo,g,367,271,564,1613
g05oo,oo,g,375,225,504,1440
g06oo,oo,g,234,254,545,1307
g07oo,oo,g,186,249,507,1720
g08oo,oo,g,292,271,585,1636
g09oo,oo,g,284,294,595,1737
g10oo,oo,g,268,229,667,1446
g11oo,oo,g,310,219,627,1515
g12oo,oo,g,214,259,571,1819
g13oo,oo,g,269,279,563,1577
g14oo,oo,g,314,245,498,1491
g15oo,oo,g,298,233,597,1599
g17oo,oo,g,188,236,643,1860
g18oo,oo,g,211,217,556,1558
g19oo,oo,g,155,237,682,1571
g20oo,oo,g,241,239,512,1644
g21oo,oo,g,179,243,575,1580
m01uh,uh,m,292,171,670,1178
m02uh,uh,m,173,105,642,998
m03uh,uh,m,297,96,622,1075
m04uh,uh,m,211,131,650,1036
m06uh,uh,m,169,117,629,1146
m07uh,uh,m,185,90,651,1176
m08uh,uh,m,242,132,626,1159
m09uh,uh,m,203,121,602,1336
m10uh,uh,m,183,157,658,1410
m11uh,uh,m,295,155,619,1241
m13uh,uh,m,172,107,636,1153
m14uh,uh,m,227,105,631,1133
m16uh,uh,m,146,147,573,1152
m17uh,uh,m,176,152,663,1166
m18uh,uh,m,193,147,610,1168
m19uh,uh,m,183,154,637,1295
m20uh,uh,m,189,138,623,1163
m21uh,uh,m,139,120,593,1254
m22uh,uh,m,226,122,622,1155
m23uh,uh,m,202,114,617,1071
m24uh,uh,m,201,130,628,1223
m25uh,uh,m,212,113,601,1214
m26uh,uh,m,230,116,593,1213
m27uh,uh,m,166,105,662,1166
m28uh,uh,m,168,124,682,1192
m29uh,uh,m,145,133,623,1207
m30uh,uh,m,199,96,560,1118
m31uh,uh,m,128,152,622,1285
m32uh,uh,m,143,147,666,1135
m33uh,uh,m,204,136,575,1130
m34uh,uh,m,177,124,583,1187
m35uh,uh,m,219,109,561,1343
m36uh,uh,m,171,118,630,1328
m37uh,uh,m,169,134,596,1053
m38uh,uh,m,155,141,602,1176
m39uh,uh,m,193,149,608,1167
m40uh,uh,m,201,138,612,1317
m41uh,uh,m,181,144,628,1172
m42uh,uh,m,242,128,631,1241
m44uh,uh,m,208,107,650,1154
m45uh,uh,m,194,180,670,1061
m47uh,uh,m,198,124,566,1040
m48uh,uh,m,188,119,600,1182
m49uh,uh,m,166,138,618,1228
m50uh,uh,m,176,119,622,1163
w01uh,uh,w,246,222,803,1501
w02uh,uh,w,345,226,788,1547
w03uh,uh,w,206,182,789,1291
w04uh,uh,w,331,216,731,1552
w05uh,uh,w,290,224,693,1381
w06uh,uh,w,233,226,795,1362
w07uh,uh,w,209,189,854,1401
w08uh,uh,w,207,243,716,1634
w09uh,uh,w,193,236,809,1391
w10uh,uh,w,256,217,680,1499
w11uh,uh,w,266,205,773,1614
w12uh,uh,w,248,241,817,1604
w13uh,uh,w,221,235,739,1320
w14uh,uh,w,206,220,742,1352
w15uh,uh,w,288,226,700,1338
w16uh,uh,w,250,198,824,1459
w17uh,uh,w,183,212,705,1166
w19uh,uh,w,286,235,839,1555
w20uh,uh,w,249,216,642,1338
w21uh,uh,w,330,221,701,1318
w22uh,uh,w,209,188,777,1397
w23uh,uh,w,220,211,686,1477
w24uh,uh,w,250,239,769,1382
w25uh,uh,w,309,217,815,1427
w26uh,uh,w,187,195,678,1397
w27uh,uh,w,195,244,823,1419
w28uh,uh,w,194,231,700,1580
w29uh,uh,w,200,307,885,1580
w30uh,uh,w,208,235,835,1507
w31uh,uh,w,199,216,756,1531
w32uh,uh,w,224,209,685,1100
w33uh,uh,w,193,244,828,1454
w34uh,uh,w,164,222,764,1359
w35uh,uh,w,215,207,729,1435
w36uh,uh,w,365,206,761,1380
w37uh,uh,w,325,206,809,1468
w38uh,uh,w,214,228,818,1516
w39uh,uh,w,233,198,710,1293
w40uh,uh,w,233,194,755,1427
w41uh,uh,w,201,215,827,1416
w42uh,uh,w,156,236,736,1300
w44uh,uh,w,251,214,678,1229
w45uh,uh,w,274,199,780,1380
w46uh,uh,w,200,155,693,1277
w47uh,uh,w,206,213,712,1499
w48uh,uh,w,208,236,733,1378
w49uh,uh,w,215,220,796,1271
w50uh,uh,w,262,213,811,1450
b01uh,uh,b,205,237,632,1573
b02uh,uh,b,161,269,731,1550
b03uh,uh,b,226,210,823,1655
b04uh,uh,b,293,241,756,1672
